building_type,square_footage,number_of_occupants,appliances_used,average_temperature,day_of_week,energy_consumption
Residential,7063,76,10,29.84,Weekday,2713.95
Commercial,44372,66,45,16.72,Weekday,5744.99
Industrial,19255,37,17,14.3,Weekend,4101.24
Residential,13265,14,41,32.82,Weekday,3009.14
Commercial,13375,26,18,11.92,Weekday,3279.17
Commercial,37377,26,32,16.24,Weekend,4687.67
Industrial,38638,92,14,21.01,Weekend,5526.83
Residential,34950,60,18,28.24,Weekday,4116.32
Industrial,29741,99,44,13.08,Weekday,5841.65
Residential,17467,42,36,28.84,Weekday,3419.13
Commercial,27702,71,14,11.3,Weekend,4318.61
Commercial,47265,4,44,25.38,Weekday,5206.34
Residential,19139,97,34,17.35,Weekday,4070.21
Residential,17820,11,8,17.8,Weekend,2571.98
Residential,45868,97,19,22.45,Weekend,5031.14
Commercial,9578,54,47,13.56,Weekend,3891.12
Commercial,4310,34,44,24.62,Weekday,3362.42
Industrial,38446,97,20,23.99,Weekend,5672.37
Industrial,7460,32,23,27.87,Weekday,3563.67
Residential,10880,19,48,22.67,Weekend,3080.67
Commercial,37912,24,43,10.38,Weekday,4993.7
Industrial,14699,83,40,32.92,Weekday,4750.37
Industrial,18274,32,22,17.87,Weekday,4134.35
Commercial,23898,55,16,26.95,Weekend,3930.14
Residential,41498,39,27,18.67,Weekend,4411.53
Industrial,41238,22,7,31.95,Weekday,4812.15
Residential,35611,8,5,23.67,Weekend,3342.21
Industrial,49653,63,12,29.54,Weekday,5754.96
Residential,30259,35,14,15.39,Weekend,3566.01
Residential,27072,12,30,32.89,Weekend,3409.14
Commercial,13499,75,41,12.97,Weekday,4230.09
Residential,46749,22,36,15.41,Weekend,4700.42
Commercial,22931,24,34,24.93,Weekday,3991.89
Industrial,29341,2,13,11.36,Weekend,4190.25
Residential,3800,5,26,20.96,Weekday,2205.2
Residential,49094,33,11,14.17,Weekday,4483.83
Residential,10403,25,26,21.34,Weekday,2733.45
Industrial,31919,77,20,22.84,Weekend,5151.75
Residential,1841,31,13,15.09,Weekend,2086.62
Residential,42188,64,43,24.21,Weekday,5038.34
Industrial,20920,89,31,32.76,Weekend,4892.22
Commercial,12093,58,35,10.34,Weekday,3882.94
Residential,27845,85,21,29.36,Weekend,4015.46
Residential,36832,20,30,31.23,Weekend,3985.45
Industrial,45162,85,45,12.92,Weekday,6493.48
Industrial,14105,73,26,14.95,Weekday,4430.49
Industrial,34914,99,18,33.43,Weekend,5428.56
Residential,16025,35,16,21.39,Weekday,2914.3
Industrial,49043,26,48,28.64,Weekend,6028.93
Residential,29898,63,13,18.75,Weekend,3791.16
Residential,12615,85,45,11.64,Weekday,3872.54
Commercial,3308,2,24,18.69,Weekday,2621.96
Industrial,35031,3,13,13.09,Weekday,4526.12
Residential,3211,78,10,28.31,Weekend,2499.0
Residential,10496,21,17,31.54,Weekend,2417.11
Industrial,49997,15,22,26.78,Weekday,5505.97
Industrial,38697,17,35,34.03,Weekend,5134.71
Industrial,36484,69,43,15.98,Weekend,5794.31
Industrial,28587,24,14,23.97,Weekend,4329.5
Industrial,28880,89,10,22.15,Weekend,4923.27
Industrial,7559,27,44,10.08,Weekday,4027.56
Commercial,6590,89,32,31.24,Weekday,3753.31
Industrial,44528,78,22,15.51,Weekend,5868.84
Commercial,6288,33,20,25.24,Weekday,2968.2
Residential,9627,84,41,25.93,Weekend,3511.71
Commercial,36868,10,22,15.14,Weekend,4307.72
Commercial,6859,25,47,25.8,Weekend,3403.93
Residential,35988,57,47,17.34,Weekend,4722.68
Residential,18185,97,15,29.66,Weekday,3580.93
Industrial,35633,44,19,11.91,Weekend,5042.08
Industrial,45359,75,35,26.86,Weekday,6133.65
Industrial,36335,6,33,17.4,Weekday,4999.76
Residential,11844,2,22,20.11,Weekend,2451.63
Industrial,12454,68,35,29.35,Weekend,4355.96
